connection_initiator,connection,date_conection,messages_exchanged
359,165,2019-09-07,38890
626,113,2020-03-21,79886
6,789,2020-03-01,31688
748,559,2019-12-29,38676
599,870,2021-01-31,94590
849,766,2020-10-18,41156
505,445,2020-11-23,81313
554,428,2019-10-11,9864
769,446,2020-02-23,91887
301,940,2019-11-23,35623
544,207,2020-05-16,26728
938,13,2021-01-10,78717
268,598,2021-01-23,47059
261,711,2019-08-06,16098
158,788,2020-03-16,50037
121,702,2019-06-06,30232
575,76,2019-09-24,97601
250,758,2019-06-06,100
632,211,2020-09-27,32057
190,611,2019-05-02,76246
664,492,2020-06-12,3327
528,147,2020-10-30,30371
778,482,2019-08-31,28521
118,390,2021-01-24,44685
484,787,2020-04-06,5067
886,312,2020-08-18,95820
509,91,2020-11-08,72167
638,696,2020-05-30,86804
138,258,2021-01-18,34566
615,117,2019-06-12,51148
265,586,2019-10-16,85162
107,434,2019-05-05,38730
415,313,2020-09-06,17878
891,902,2019-04-16,51375
366,988,2021-01-16,47210
38,730,2020-12-09,8416
594,872,2020-08-02,50092
999,608,2019-11-01,19314
11,58,2020-02-19,91895
284,559,2020-04-27,92575
168,278,2019-05-07,88969
760,57,2019-11-19,84475
502,122,2020-01-21,23332
6,22,2019-10-21,50907
672,311,2020-06-06,2937
612,269,2020-06-29,37289
60,898,2021-01-27,95451
360,351,2019-07-26,69355
334,587,2020-04-22,19103
554,274,2020-02-23,12451
805,114,2020-01-27,80484
634,416,2020-12-21,41333
876,514,2020-03-28,35715
897,396,2019-09-08,62472
240,23,2019-04-07,70210
965,914,2020-11-04,78776
70,555,2021-01-31,10555
728,424,2020-04-19,14308
345,495,2021-01-29,93759
21,206,2019-02-28,40058
370,517,2019-05-01,29566
574,560,2020-08-30,34074
584,790,2020-12-01,57915
221,392,2019-12-24,58675
830,81,2020-08-22,79637
94,884,2020-11-19,499
34,522,2020-10-19,55879
101,158,2020-07-20,5794
809,34,2020-06-17,54197
498,614,2019-02-18,16546
634,879,2020-06-07,43950
159,23,2020-03-07,90967
459,633,2020-11-22,14292
358,788,2020-12-22,8118
55,470,2019-11-03,63622
943,9,2019-08-26,82419
733,626,2020-09-07,14078
512,933,2019-10-28,56429
243,838,2020-08-17,82844
168,102,2020-12-25,64974
502,545,2019-04-07,18570
555,22,2019-07-16,83350
322,649,2021-01-30,19091
693,966,2020-05-03,26016
987,903,2019-08-09,45965
460,511,2019-08-22,74475
901,765,2020-11-02,61400
22,372,2019-06-08,88149
780,483,2020-11-02,67441
338,694,2020-04-14,19221
718,288,2020-01-31,60269
771,266,2019-04-29,62923
109,13,2019-04-21,76370
463,741,2019-10-24,38088
793,401,2020-12-28,88160
300,527,2020-03-18,51527
692,681,2021-02-11,24971
838,123,2020-03-04,71242
763,588,2019-05-13,17412
67,250,2019-10-10,57312
247,472,2020-04-21,50491
426,623,2019-10-02,5030
279,160,2020-08-19,11460
742,854,2019-05-25,88316
300,130,2020-04-18,7604
692,318,2019-11-03,52134
801,306,2020-11-11,82434
8,973,2021-02-03,3288
179,675,2020-04-12,58276
38,559,2019-07-25,21970
851,225,2020-10-30,99906
42,363,2020-05-31,87928
897,860,2020-04-18,28333
162,791,2020-05-19,27632
