Sex,Age,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Language,Skills
Female,23,40.587431693989075,32.51975417032485,38.77433309300649,48.056930693069305,42.38683127572016,Chinese,"PPC, Python, Project Management, Business Development, Project Management, "
Male,21,48.7508218277449,40.67175572519084,44.744218640504556,51.23179611650485,37.73913043478261,French,"PPC, Marketing, Project Management, Marketing, Python, Marketing, Leadership, Data Science, PPC, "
Male,55,41.57232704402516,34.413265306122454,39.31086142322098,51.1783042394015,38.47509578544061,Spanish,"Numpy, Numpy, Marketing, SEO, Leadership, Python, Numpy, Python, Leadership, Project Management, JAVA, Business Development, PPC, SEO, Data Science, "
Male,35,40.203813280736355,36.854961832061065,37.73651016117729,53.05218446601942,45.644268774703555,English,"JAVA, Business Development, Leadership, Leadership, "
Male,35,47.43589743589743,34.56488549618321,48.24807288016819,48.80461165048544,39.3201581027668,French,"Business Development, Web, Python, JAVA, PPC, Leadership, "
Female,19,35.140186915887845,33.23996971990916,49.116828929068156,49.09673286354901,39.01182432432432,French,"Marketing, PPC, Web, Marketing, Web, Web, Data Science, Leadership, "
Female,52,53.08668076109936,26.900406504065035,43.46986089644513,53.49068322981367,34.82567353407289,Chinese,"PPC, SEO, Web, Business Development, Leadership, Leadership, Numpy, JAVA, Marketing, Business Development, Project Management, "
Female,25,41.95355191256831,34.27568042142231,31.564527757750543,46.20049504950495,40.74074074074074,French,"Business Development, Project Management, PPC, "
Female,29,44.685792349726775,33.397717295873576,37.3323720259553,52.38861386138614,49.794238683127574,Chinese,"Leadership, Project Management, Project Management, Numpy, Project Management, "
Male,53,40.17470300489168,36.964285714285715,29.57303370786517,47.437655860349125,47.67049808429118,English,"SEO, Project Management, Business Development, Numpy, Numpy, Leadership, "
Male,24,47.43589743589743,35.32824427480916,44.744218640504556,59.12014563106796,32.99604743083003,Chinese,"PPC, Project Management, Web, Project Management, JAVA, Marketing, SEO, Numpy, Leadership, Marketing, JAVA, PPC, Numpy, "
Male,25,61.242603550295854,39.908396946564885,39.13805185704275,56.08616504854369,33.786561264822126,French,"Business Development, Web, PPC, "
Male,35,36.25904010519395,37.61832061068702,38.43728100911002,49.411407766990294,39.3201581027668,English,"PPC, Data Science, Numpy, PPC, PPC, Data Science, Data Science, Web, Web, Numpy, Business Development, Project Management, JAVA, PPC, Web, "
Male,43,43.668763102725364,39.51530612244898,33.3183520599251,60.52992518703242,49.20306513409961,English,"Numpy, SEO, SEO, Python, Numpy, Numpy, Marketing, Business Development, JAVA, Python, Python, Python, JAVA, "
Male,46,44.3675751222921,35.26360544217687,40.05992509363296,56.16583541147132,40.007662835249036,Chinese,"PPC, Business Development, Project Management, Data Science, Web, Project Management, Business Development, Web, PPC, Python, Marketing, Web, Business Development, "
Female,22,39.904371584699454,28.129938542581215,33.006488824801735,48.056930693069305,38.27160493827161,Chinese,"Business Development, Marketing, Marketing, Marketing, PPC, Python, JAVA, PPC, Data Science, "
Male,45,42.27113906359189,35.26360544217687,39.31086142322098,58.03615960099751,35.40996168582375,Spanish,"Business Development, PPC, Project Management, SEO, Python, PPC, Business Development, SEO, Numpy, Leadership, JAVA, Leadership, "
Female,27,48.78415300546448,34.27568042142231,37.3323720259553,50.53217821782178,46.50205761316872,English,"JAVA, Python, Web, Business Development, JAVA, Numpy, Python, Python, "
Male,23,40.203813280736355,33.80152671755725,36.334968465311846,44.557038834951456,45.644268774703555,Chinese,"Business Development, Project Management, Business Development, Project Management, Marketing, Python, Leadership, Numpy, JAVA, "
Female,55,44.630021141649046,12.672764227642269,32.65069551777434,48.52173913043479,33.24088748019017,English,"Numpy, JAVA, "
Female,43,52.38195912614517,37.0630081300813,31.877897990726428,48.52173913043479,41.1648177496038,Spanish,"PPC, Web, SEO, Leadership, Data Science, Data Science, Business Development, Business Development, "
Female,50,52.38195912614517,27.91666666666666,40.37867078825347,47.27950310559007,34.03328050713153,French,"Python, Web, Numpy, "
Male,42,49.25925925925926,39.51530612244898,41.55805243445693,57.412718204488776,37.70881226053639,French,"Data Science, JAVA, Data Science, Leadership, Marketing, Data Science, Project Management, Python, Leadership, JAVA, Project Management, Leadership, "
Female,30,33.7568306010929,28.129938542581215,33.006488824801735,49.29455445544554,48.97119341563786,French,"JAVA, SEO, Project Management, Leadership, Business Development, "
Female,42,41.81113460183227,22.83536585365853,24.149922720247293,50.38509316770187,42.74960380348652,French,"JAVA, Project Management, "
Female,35,36.48907103825137,38.66549604916594,35.89041095890411,51.1509900990099,37.44855967078189,English,"Marketing, Python, Leadership, "
Female,51,43.22057787174066,32.99796747967479,27.241112828438947,57.838509316770185,34.82567353407289,English,"Marketing, PPC, Marketing, Web, SEO, Business Development, Project Management, Leadership, Leadership, "
Male,24,38.23142669296515,42.961832061068705,46.14576033637001,43.9502427184466,46.43478260869565,French,"PPC, Leadership, Numpy, Web, Leadership, Business Development, "
Male,27,44.148586456278764,39.145038167938935,34.93342676944639,49.411407766990294,30.62450592885375,Chinese,"Numpy, JAVA, Python, Marketing, Web, Web, Project Management, PPC, Business Development, Business Development, JAVA, "
Male,39,45.46351084812623,39.145038167938935,42.64190609670638,57.90655339805825,45.644268774703555,English,"Python, Business Development, Leadership, Python, Web, Leadership, PPC, Project Management, Business Development, PPC, "
Male,30,43.49112426035503,36.854961832061065,41.94113524877365,54.265776699029125,45.644268774703555,English,"Business Development, Python, Business Development, SEO, Web, Leadership, JAVA, Numpy, JAVA, Leadership, SEO, "
Female,22,41.95355191256831,21.1062335381914,38.0533525594809,48.056930693069305,30.8641975308642,Chinese,"Leadership, SEO, SEO, "
Male,21,44.148586456278764,45.25190839694657,44.744218640504556,48.80461165048544,37.73913043478261,Chinese,"Python, PPC, Data Science, Project Management, Web, "
Male,31,48.7508218277449,32.274809160305345,51.05115627189909,48.80461165048544,43.272727272727266,Chinese,"Project Management, Numpy, Numpy, JAVA, Marketing, Business Development, PPC, SEO, Data Science, Web, SEO, "
Male,48,42.96995108315863,37.814625850340136,34.81647940074907,58.03615960099751,43.0727969348659,Spanish,"JAVA, Data Science, JAVA, Project Management, Data Science, SEO, JAVA, SEO, SEO, JAVA, Leadership, PPC, "
Male,25,38.23142669296515,33.038167938931295,41.94113524877365,56.08616504854369,28.25296442687747,French,"Python, Project Management, Business Development, JAVA, Marketing, PPC, PPC, Marketing, Web, Web, Data Science, "
Male,46,42.96995108315863,31.011904761904763,37.81273408239701,55.542394014962596,49.20306513409961,French,"Leadership, Python, Project Management, Marketing, PPC, SEO, PPC, "
Male,53,52.75331935709294,25.059523809523814,35.56554307116105,53.04862842892768,40.77394636015325,English,"Leadership, Python, Marketing, Web, Data Science, Business Development, JAVA, Numpy, PPC, SEO, SEO, "
Female,40,35.12295081967213,29.007901668129943,37.3323720259553,55.48267326732673,36.62551440329218,Chinese,"Python, Web, Business Development, Marketing, SEO, "
Male,38,46.778435239973696,42.19847328244275,43.3426769446391,53.65898058252427,36.158102766798415,Chinese,"Business Development, Project Management, Marketing, JAVA, "
Male,50,40.87351502445842,41.215986394557824,28.823970037453186,54.29551122194514,35.40996168582375,Spanish,"Project Management, "
Male,28,45.46351084812623,45.25190839694657,42.64190609670638,48.80461165048544,31.415019762845848,Chinese,"PPC, Web, Leadership, Leadership, Numpy, Python, Numpy, PPC, "
Male,34,53.353057199211044,39.145038167938935,48.24807288016819,53.05218446601942,36.94861660079051,Spanish,"Python, Web, Web, Python, Leadership, Python, Project Management, SEO, SEO, Web, Leadership, JAVA, Project Management, Project Management, "
Male,18,43.68900455432661,50.69577080491132,40.5728088336784,49.46936197094125,35.464834276475344,Spanish,"Numpy, "
Female,48,45.334742776603235,20.802845528455276,43.46986089644513,49.142857142857146,43.54199683042789,French,"Data Science, JAVA, Web, Project Management, Marketing, Project Management, "
Female,19,48.4913217623498,45.35200605601817,48.42141863699583,44.61242793081358,25.498310810810807,Chinese,"Data Science, JAVA, Python, SEO, Project Management, Web, "
Male,23,44.148586456278764,43.725190839694655,36.334968465311846,53.05218446601942,27.462450592885375,Chinese,"JAVA, SEO, Data Science, Numpy, SEO, Python, Numpy, "
Female,49,47.44890768146582,20.802845528455276,30.3323029366306,52.24844720496895,37.995245641838345,French,"JAVA, Numpy, "
Male,20,48.243331164606374,43.87448840381992,48.16425120772947,51.996209728363866,44.357316087308,Chinese,"JAVA, Data Science, Numpy, Business Development, SEO, Numpy, Business Development, JAVA, Python, Web, "
Male,22,37.573964497041416,36.854961832061065,42.64190609670638,53.65898058252427,47.22529644268774,Spanish,"Leadership, Data Science, Numpy, Data Science, "
Female,27,39.221311475409834,33.397717295873576,45.98413842826244,52.38861386138614,25.925925925925927,English,"Business Development, "
Female,39,41.95355191256831,35.15364354697103,43.821196827685654,53.62623762376238,31.68724279835391,French,"Leadership, Web, "
Female,46,45.334742776603235,28.93292682926829,31.105100463678514,51.62732919254659,38.78763866877971,Spanish,"JAVA, Business Development, Project Management, "
Male,45,45.06638714185884,38.66496598639456,31.07116104868914,44.32044887780549,39.241379310344826,French,"Numpy, Marketing, SEO, Web, Web, Web, Data Science, JAVA, Python, Marketing, Leadership, Leadership, Python, Business Development, "
Female,24,48.78415300546448,38.66549604916594,33.727469358327326,46.20049504950495,30.041152263374485,English,"Business Development, PPC, Data Science, Web, JAVA, Leadership, PPC, "
Male,47,35.283018867924525,31.862244897959183,39.31086142322098,50.55486284289277,33.877394636015325,Spanish,"SEO, "
Female,26,49.467213114754095,26.374012291483762,41.658255227108874,51.76980198019802,35.80246913580247,Spanish,"Data Science, Project Management, Python, Business Development, Marketing, SEO, Leadership, Python, PPC, PPC, PPC, Marketing, Python, "
Male,37,45.46351084812623,46.01526717557252,39.83882270497547,58.5133495145631,41.69169960474308,French,"JAVA, Python, Project Management, JAVA, "
Male,20,43.03838646714378,36.37107776261937,40.5728088336784,51.996209728363866,35.464834276475344,Spanish,"Project Management, Python, PPC, PPC, PPC, JAVA, PPC, Marketing, Business Development, JAVA, Web, "
Male,30,50.06574621959237,42.961832061068705,41.240364400840924,56.692961165048544,40.901185770750985,Chinese,"Marketing, Web, "
Male,34,48.7508218277449,43.725190839694655,41.240364400840924,57.2997572815534,34.57707509881423,French,"JAVA, Leadership, JAVA, JAVA, Web, Project Management, JAVA, Project Management, Numpy, Leadership, SEO, Python, Python, Web, "
Male,46,49.25925925925926,29.31122448979592,28.823970037453186,52.425187032418954,43.0727969348659,Chinese,"Numpy, Leadership, Web, Project Management, Web, "
Male,54,54.84975541579315,41.215986394557824,37.06367041198502,53.04862842892768,37.70881226053639,Chinese,"Project Management, Python, Numpy, Leadership, Numpy, SEO, Project Management, "
Male,18,37.18282368249837,47.285129604365615,44.02346445824707,50.101073910296904,44.357316087308,Spanish,"PPC, Leadership, Project Management, Marketing, JAVA, Project Management, Project Management, PPC, Marketing, "
Male,38,55.982905982905976,29.22137404580153,44.744218640504556,58.5133495145631,33.786561264822126,Spanish,"Web, PPC, Numpy, Marketing, Python, Python, JAVA, SEO, Numpy, "
